American Indian,Booked - Awaiting Trial,6,,,,,,,,,,,,,,,,,,,,,
American Indian,Booked - No Charges Filed,2,,,,,,,,,,,,,,,,,,,,,
American Indian,Other,10,,,,,,,,,,,,,,,,,,,,,
American Indian,Sentenced,62,,,,,,,,,,,,,,,,,,,,,
Asian Indian,Booked - Awaiting Trial,9,,,,,,,,,,,,,,,,,,,,,
Asian Indian,Booked - No Charges Filed,1,,,,,,,,,,,,,,,,,,,,,
Asian Indian,Other,3,,,,,,,,,,,,,,,,,,,,,
Asian Indian,Sentenced,5,,,,,,,,,,,,,,,,,,,,,
Black,Awaiting Booking,20,,,,,,,,,,,,,,,,,,,,,
Black,Booked - Awaiting Trial,211,,,,,,,,,,,,,,,,,,,,,
Black,Booked - No Charges Filed,43,,,,,,,,,,,,,,,,,,,,,
Black,Other,382,,,,,,,,,,,,,,,,,,,,,
Black,Sentenced,1316,,,,,,,,,,,,,,,,,,,,,
Cambodian,Booked - Awaiting Trial,1,,,,,,,,,,,,,,,,,,,,,
Cambodian,Other,3,,,,,,,,,,,,,,,,,,,,,
Cambodian,Sentenced,1,,,,,,,,,,,,,,,,,,,,,
Chinese,Booked - Awaiting Trial,6,,,,,,,,,,,,,,,,,,,,,
Chinese,Other,3,,,,,,,,,,,,,,,,,,,,,
Chinese,Sentenced,6,,,,,,,,,,,,,,,,,,,,,
Filipino,Booked - Awaiting Trial,6,,,,,,,,,,,,,,,,,,,,,
Filipino,Booked - No Charges Filed,1,,,,,,,,,,,,,,,,,,,,,
Filipino,Other,12,,,,,,,,,,,,,,,,,,,,,
Filipino,Sentenced,36,,,,,,,,,,,,,,,,,,,,,
Guamanian,Sentenced,3,,,,,,,,,,,,,,,,,,,,,
Hawaiian,Booked - Awaiting Trial,1,,,,,,,,,,,,,,,,,,,,,
Hispanic,Awaiting Booking,31,,,,,,,,,,,,,,,,,,,,,
Hispanic,Booked - Awaiting Trial,286,,,,,,,,,,,,,,,,,,,,,
Hispanic,Booked - No Charges Filed,54,,,,,,,,,,,,,,,,,,,,,
Hispanic,Other,758,,,,,,,,,,,,,,,,,,,,,
Hispanic,Sentenced,1365,,,,,,,,,,,,,,,,,,,,,
Japanese,Booked - Awaiting Trial,1,,,,,,,,,,,,,,,,,,,,,
Japanese,Other,1,,,,,,,,,,,,,,,,,,,,,
Japanese,Sentenced,2,,,,,,,,,,,,,,,,,,,,,
Korean,Booked - Awaiting Trial,1,,,,,,,,,,,,,,,,,,,,,
Korean,Other,6,,,,,,,,,,,,,,,,,,,,,
Korean,Sentenced,9,,,,,,,,,,,,,,,,,,,,,
Laotian,Booked - Awaiting Trial,2,,,,,,,,,,,,,,,,,,,,,
Laotian,Other,2,,,,,,,,,,,,,,,,,,,,,
Laotian,Sentenced,6,,,,,,,,,,,,,,,,,,,,,
Other,Booked - Awaiting Trial,9,,,,American Indian,Asian Indian,Black,Cambodian,Chinese,Filipino,Guamanian,Hawaiian,Hispanic,Japanese,Korean,Laotian,Other,Other Asian,Pacific Islander,Samoan,Vietnamese,White
Other,Booked - No Charges Filed,7,,,Awaiting Booking,,,20,,,,,,31,,,,,,,,,
Other,Other,30,,,Booked - Awaiting Trial,6,9,211,1,6,6,,1,286,1,1,2,9,13,,,,
Other,Sentenced,91,,,Booked - No Charges Filed,2,1,43,,,1,,,54,,,,7,1,,,,
Other Asian,Booked - Awaiting Trial,13,,,Other,10,3,382,3,3,12,,,758,1,6,2,30,22,,,,
Other Asian,Booked - No Charges Filed,1,,,Sentenced,62,5,1316,1,6,36,3,,1365,2,9,6,91,25,,,,
Other Asian,Other,22,,,,,,,,,,,,,,,,,,,,,
Other Asian,Sentenced,25,,,,,,,,,,,,,,,,,,,,,
Pacific Islander,Booked - Awaiting Trial,1,,,,,,,,,,,,,,,,,,,,,
Pacific Islander,Other,15,,,,,,,,,,,,,,,,,,,,,
Pacific Islander,Sentenced,3,,,,,,,,,,,,,,,,,,,,,
Samoan,Other,5,,,,,,,,,,,,,,,,,,,,,
Samoan,Sentenced,3,,,,,,,,,,,,,,,,,,,,,
Vietnamese,Awaiting Booking,1,,,,,,,,,,,,,,,,,,,,,
Vietnamese,Booked - Awaiting Trial,7,,,,,,,,,,,,,,,,,,,,,
Vietnamese,Booked - No Charges Filed,2,,,,,,,,,,,,,,,,,,,,,
Vietnamese,Other,12,,,,,,,,,,,,,,,,,,,,,
Vietnamese,Sentenced,13,,,,,,,,,,,,,,,,,,,,,
White,Awaiting Booking,45,,,,,,,,,,,,,,,,,,,,,
White,Booked - Awaiting Trial,471,,,,,,,,,,,,,,,,,,,,,
White,Booked - No Charges Filed,92,,,,,,,,,,,,,,,,,,,,,
White,Other,583,,,,,,,,,,,,,,,,,,,,,
White,Sentenced,2249,,,,,,,,,,,,,,,,,,,,,
