American Indian,Accidental,6,,,,,,,,,,,,,,,,
American Indian,Homicide,9,,,,,,,,,,,,,,,,
American Indian,Natural,50,,,,,,,,,,,,,,,,
American Indian,Other,3,,,,,,,,,,,,,,,,
American Indian,Suicide,12,,,,,,,,,,,,,,,,
Asian Indian,Cannot be Determined,1,,,,,,,,,,,,,,,,
Asian Indian,Homicide,2,,,,,,,,,,,,,,,,
Asian Indian,Natural,8,,,,,,,,,,,,,,,,
Asian Indian,Other,1,,,,,,,,,,,,,,,,
Asian Indian,Suicide,6,,,,,,,,,,,,,,,,
Black,Accidental,142,,,,,,,,,,,,,,,,
Black,Cannot be Determined,29,,,,,,,,,,,,,,,,
Black,Homicide,294,,,,,,,,,,,,,,,,
Black,Natural,1348,,,,,,,,,,,,,,,,
Black,Other,65,,,,,,,,,,,,,,,,
Black,Suicide,94,,,,,,,,,,,,,,,,
Cambodian,Accidental,1,,,,,,,,,,,,,,,,
Cambodian,Homicide,2,,,,,,,,,,,,,,,,
Cambodian,Natural,1,,,,,,,,,,,,,,,,
Cambodian,Other,1,,,,,,,,,,,,,,,,
Chinese,Accidental,2,,,,,,,,,,,,,,,,
Chinese,Homicide,3,,,,,,,,,,,,,,,,
Chinese,Natural,4,,,,,,,,,,,,,,,,
Chinese,Other,1,,,,,,,,,,,,,,,,
Chinese,Suicide,5,,,,,,,,,,,,,,,,
Filipino,Accidental,1,,,,,,,,,,,,,,,,
Filipino,Cannot be Determined,1,,,,,,,,,,,,,,,,
Filipino,Homicide,6,,,,,,,,,,,,,,,,
Filipino,Natural,37,,,,,,,,,,,,,,,,
Filipino,Other,5,,,,,,,,,,,,,,,,
Filipino,Suicide,5,,,,,,,,,,,,,,,,
Guamanian,Accidental,1,,,,,,,,,,,,,,,,
Guamanian,Natural,2,,,,,,,,,,,,,,,,
Hawaiian,Cannot be Determined,1,,,,,,,,,,,,,,,,
Hispanic,Accidental,247,,,,,,,,,,,,,,,,
Hispanic,Cannot be Determined,26,,,,,,,,,,,,,,,,
Hispanic,Homicide,646,,,,,,,,,,,,,,,,
Hispanic,Natural,1211,,,,,,,,,,,,,,,,
Hispanic,Other,101,,,,,,,,,,,,,,,,
Hispanic,Suicide,263,,,,,,,,,,,,,,,,
Japanese,Cannot be Determined,1,,,,,,,,,,,,,,,,
Japanese,Other,1,,,,,,,,,,,,,,,,
Japanese,Suicide,2,,,,,,,,,,,,,,,,
Korean,Homicide,7,,,,,,,,,,,,,,,,
Korean,Natural,7,,,,,,,,,,,,,,,,
Korean,Suicide,2,,,,,,,,,,,,,,,,
Laotian,Accidental,1,,,,,,,,,,,,,,,,
Laotian,Homicide,2,,,,,,,,,,,,,,,,
Laotian,Natural,4,,,,,,,,,,,,,,,,
Laotian,Suicide,3,,,,,,,,,,,,,,,,
Other,Accidental,7,,,,,,,,,,,,,,,,
Other,Cannot be Determined,2,,,,,,,,,,,,,,,,
Other,Homicide,19,,,,,,,,,,,,,,,,
Other,Natural,87,,,,,,,,,,,,,,,,
Other,Other,3,,,,,,,,,,,,,,,,
Other,Suicide,19,,,,,,,,,,,,,,,,
Other Asian,Accidental,6,,,,,,,,,,,,,,,,
Other Asian,Homicide,20,,,,,,,,,,,,,,,,
Other Asian,Natural,16,,,,,,,,,,,,,,,,
Other Asian,Other,1,,,,,,,,,,,,,,,,
Other Asian,Suicide,18,,,,,,,,,,,,,,,,
Pacific Islander,Homicide,11,,,,,,,,,,,,,,,,
Pacific Islander,Natural,3,,,,,,,,,,,,,,,,
Pacific Islander,Other,3,,,,,,,,,,,,,,,,
Pacific Islander,Suicide,2,,,,,,,,,,,,,,,,
Samoan,Homicide,5,,,,,,,,,,,,,,,,
Samoan,Natural,2,,,,,,,,,,,,,,,,
Samoan,Suicide,1,,,,,,,,,,,,,,,,
Vietnamese,Accidental,4,,,,,,,,,,,,,,,,
Vietnamese,Cannot be Determined,2,,,,,,,,,,,,,,,,
Vietnamese,Homicide,11,,,,,,,,,,,,,,,,
Vietnamese,Natural,13,,,,,,,,,,,,,,,,
Vietnamese,Suicide,5,,,,,,,,,,,,,,,,
White,Accidental,265,,,,,,,,,,,,,,,,
White,Cannot be Determined,52,,,,,,,,,,,,,,,,
White,Homicide,468,,,,,,,,,,,,,,,,
White,Natural,2142,,,,,,,,,,,,,,,,
White,Other,94,,,,,,,,,,,,,,,,
White,Suicide,419,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,American Indian,Asian Indian,Black,Cambodian,Chinese,Filipino,Guamanian,Hawaiian,Hispanic,Japanese,Korean,Laotian,Other,Other Asian,Pacific Islander,Samoan,Vietnamese,White
Accidental,6,,142,1,2,1,1,,247,,,1,7,6,,,4,265
Cannot be Determined,,1,29,,,1,,1,26,1,,,2,,,,2,52
Homicide,9,2,294,2,3,6,,,646,,7,2,19,20,11,5,11,468
Natural,50,8,1348,1,4,37,2,,1211,,7,4,87,16,3,2,13,2142
Other,3,1,65,1,1,5,,,101,1,,,3,1,3,,,94
Suicide,12,6,94,,5,5,,,263,2,2,3,19,18,2,1,5,419
