,TOXICITY,blind
1153,0.745668769,2
1438,0.901114106,2
602,0.973990798,2
134,0.316559851,2
682,0.152980477,2
213,0.901114106,2
205,0.067054734,2
245,0.143501431,2
750,0.163293183,2
435,0.926077366,2
235,0.745668769,2
805,0.922359824,2
1087,0.926077366,2
1173,0.152980477,2
1,0.51299268,2
663,0.977680027,2
1113,0.453091055,2
382,0.745668769,2
1360,0.776861906,2
1235,0.969425678,2
353,0.615120709,2
41,0.522999048,2
1281,0.776861906,2
792,0.969425678,2
719,0.453091055,2
232,0.163293183,2
92,0.607900083,2
1050,0.83395803,2
403,0.425917059,2
1051,0.970912933,2
823,0.898122609,2
344,0.960036933,2
1067,0.963526785,2
900,0.615120709,2
1381,0.7251755,2
819,0.258014441,2
292,0.728957355,2
280,0.929427028,2
1068,0.163293183,2
1290,0.799770653,2
1208,0.106641263,2
1210,0.425917059,2
534,0.698932171,2
1367,0.925824523,2
723,0.969425678,2
605,0.91191864,2
1166,0.455863476,2
90,0.969549358,2
250,0.97224468,2
37,0.106244542,2
238,0.421680391,2
473,0.631105423,2
1003,0.898122609,2
190,0.926077366,2
1124,0.898122609,2
117,0.220476165,2
986,0.965940714,2
1127,0.615120709,2
154,0.975529432,2
112,0.846776545,2
1368,0.802586615,2
1335,0.279691517,2
649,0.970656753,2
390,0.279691517,2
1198,0.086866058,2
1353,0.343067884,2
1066,0.973990798,2
879,0.960036933,2
1109,0.960036933,2
1264,0.802586615,2
287,0.152980477,2
1097,0.214414194,2
181,0.745668769,2
1072,0.969425678,2
5,0.605975151,2
52,0.960036933,2
681,0.316559851,2
308,0.900302172,2
96,0.152980477,2
1057,0.969425678,2
334,0.745668769,2
1234,0.152980477,2
411,0.552348495,2
1332,0.901114106,2
847,0.926077366,2
1251,0.898122609,2
299,0.901114106,2
420,0.745668769,2
601,0.453091055,2
371,0.326537848,2
1064,0.535619974,2
1156,0.960036933,2
816,0.948820055,2
1292,0.973990798,2
912,0.528676629,2
528,0.326537848,2
1453,0.220476165,2
797,0.615120709,2
1140,0.421680391,2
1131,0.977680027,2
1086,0.776861906,2
0,0.523488998,2
1249,0.810124934,2
1190,0.152980477,2
650,0.425917059,2
694,0.106641263,2
485,0.306318969,2
44,0.053793039,2
1421,0.326537848,2
161,0.977680027,2
1440,0.901114106,2
1217,0.776861906,2
6,0.689281166,2
150,0.776861906,2
628,0.958608031,2
1491,0.985069335,2
929,0.939633489,2
861,0.106641263,2
483,0.965466678,2
1340,0.698932171,2
1445,0.273618579,2
1437,0.163293183,2
807,0.898122609,2
772,0.196843579,2
1137,0.425917059,2
321,0.152980477,2
761,0.776861906,2
301,0.922359824,2
975,0.745668769,2
774,0.552348495,2
1449,0.326537848,2
1035,0.898122609,2
457,0.698932171,2
296,0.926077366,2
763,0.279691517,2
957,0.965466678,2
399,0.876429677,2
997,0.453091055,2
1352,0.745668769,2
153,0.960036933,2
924,0.42243883,2
546,0.745668769,2
1416,0.802586615,2
77,0.152980477,2
264,0.326537848,2
324,0.901114106,2
702,0.12570031,2
894,0.607900083,2
1366,0.926077366,2
893,0.884222865,2
582,0.326537848,2
